Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,6.900000,6.945000,6.785000,6.871000,4.223911,7040000
2014-01-03,6.860000,6.935000,6.793000,6.923000,4.255877,4646491
2014-01-06,6.929000,6.970000,6.895000,6.920000,4.254034,4753531
2014-01-07,6.877000,6.889000,6.749000,6.848000,4.209772,11323100
2014-01-08,6.877000,6.974000,6.877000,6.956000,4.276164,8267358
2014-01-09,6.954000,6.990000,6.881000,6.913000,4.249732,10499636
2014-01-10,6.935000,6.980000,6.730000,6.769000,4.161208,13040003
2014-01-13,6.827000,6.860000,6.782000,6.807000,4.184567,8149280
2014-01-14,6.770000,6.817000,6.721000,6.795000,4.177191,6492478
2014-01-15,6.829000,6.870000,6.783000,6.810000,4.186412,6535011
2014-01-16,6.862000,6.871000,6.800000,6.811000,4.187026,7168992
2014-01-17,6.833000,6.880000,6.769000,6.820000,4.192560,6294728
2014-01-20,6.804000,6.820000,6.740000,6.768000,4.160592,5034720
2014-01-21,6.720000,6.760000,6.640000,6.659000,4.093586,6380689
2014-01-22,6.707000,6.766000,6.674000,6.730000,4.137233,10159863
2014-01-23,6.789000,6.909000,6.735000,6.759000,4.155060,13934290
2014-01-24,6.782000,6.820000,6.522000,6.534000,4.016743,11524442
2014-01-27,6.487000,6.530000,6.420000,6.462000,3.972481,8540980
2014-01-28,6.505000,6.608000,6.473000,6.575000,4.041947,10915124
2014-01-29,6.635000,6.680000,6.401000,6.500000,3.995841,8348604
2014-01-30,6.499000,6.592000,6.430000,6.513000,4.003832,8712511
2014-01-31,6.486000,6.504000,6.393000,6.487000,3.987849,8653291
2014-02-03,6.452000,6.499000,6.270000,6.300000,3.872892,10307138
2014-02-04,6.226000,6.379000,6.203000,6.358000,3.908546,6477627
2014-02-05,6.375000,6.418000,6.326000,6.331000,3.891948,6005581
2014-02-06,6.364000,6.499000,6.337000,6.483000,3.985390,7701540
2014-02-07,6.510000,6.565000,6.462000,6.502000,3.997070,8069939
2014-02-10,6.534000,6.544000,6.483000,6.510000,4.001988,4135128
2014-02-11,6.531000,6.620000,6.530000,6.598000,4.056087,6273391
2014-02-12,6.620000,6.712000,6.606000,6.665000,4.097274,7803865
2014-02-13,6.657000,6.679000,6.609000,6.647000,4.086209,6057272
2014-02-14,6.677000,6.750000,6.668000,6.748000,4.148298,7085140
2014-02-17,6.766000,6.815000,6.729000,6.768000,4.160592,5387702
2014-02-18,6.797000,6.838000,6.778000,6.819000,4.191945,7024883
2014-02-19,6.800000,6.827000,6.726000,6.764000,4.158134,5123968
2014-02-20,6.695000,6.700000,6.225000,6.358000,3.908546,26416051
2014-02-21,6.400000,6.629000,6.400000,6.585000,4.048093,15193615
2014-02-24,6.575000,6.583000,6.527000,6.568000,4.037643,5407109
2014-02-25,6.569000,6.588000,6.509000,6.571000,4.039487,5156528
2014-02-26,6.583000,6.617000,6.513000,6.549000,4.025963,4678199
2014-02-27,6.550000,6.573000,6.413000,6.501000,3.996455,5716497
2014-02-28,6.499000,6.570000,6.497000,6.529000,4.013669,5077140
2014-03-03,6.409000,6.412000,6.202000,6.228000,3.828630,12554988
2014-03-04,6.317000,6.459000,6.312000,6.430000,3.952808,8159272
2014-03-05,6.474000,6.564000,6.424000,6.549000,4.025963,10081738
2014-03-06,6.562000,6.587000,6.501000,6.528000,4.013053,4747901
2014-03-07,6.531000,6.531000,6.336000,6.357000,3.907932,8444765
2014-03-10,6.355000,6.448000,6.316000,6.333000,3.893179,5251403
2014-03-11,6.362000,6.402000,6.304000,6.371000,3.916539,6066138
2014-03-12,6.339000,6.406000,6.238000,6.391000,3.928833,6850884
2014-03-13,6.423000,6.471000,6.373000,6.380000,3.922072,8395243
2014-03-14,6.348000,6.390000,6.278000,6.295000,3.869818,9376967
2014-03-17,6.316000,6.380000,6.284000,6.347000,3.901784,5384513
2014-03-18,6.343000,6.396000,6.261000,6.376000,3.919613,6606262
2014-03-19,6.390000,6.390000,6.250000,6.276000,3.858138,7834088
2014-03-20,6.282000,6.541000,6.268000,6.541000,4.021046,15296017
2014-03-21,6.567000,6.608000,6.468000,6.487000,3.987849,13842290
2014-03-24,6.524000,6.565000,6.397000,6.411000,3.941129,5501584
2014-03-25,6.436000,6.520000,6.386000,6.500000,3.995841,5755779
2014-03-26,6.542000,6.619000,6.527000,6.577000,4.043176,7012889
2014-03-27,6.552000,6.650000,6.510000,6.619000,4.068995,6288756
2014-03-28,6.649000,6.677000,6.551000,6.592000,4.052398,6986454
2014-03-31,6.617000,6.675000,6.584000,6.663000,4.096045,7588417
2014-04-01,6.720000,6.769000,6.720000,6.751000,4.150142,6067004
2014-04-02,6.777000,6.823000,6.746000,6.768000,4.160592,4366210
2014-04-03,6.789000,6.803000,6.695000,6.746000,4.147069,5269473
2014-04-04,6.767000,6.810000,6.750000,6.751000,4.150142,4514792
