Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,48.895000,49.125000,48.125000,48.130001,40.540821,930169
2014-01-03,48.235001,48.494999,47.935001,48.150002,40.557659,803248
2014-01-06,48.200001,48.555000,47.634991,47.634991,40.123859,627624
2014-01-07,48.000000,48.000000,47.430000,47.544991,40.048054,822002
2014-01-08,47.759998,47.759998,47.189999,47.305000,39.845905,762025
2014-01-09,47.279999,47.505001,47.064999,47.205002,39.761677,1000570
2014-01-10,47.375000,47.459999,47.020000,47.134991,39.702698,817000
2014-01-13,47.290001,47.445000,46.910000,47.119999,39.690079,687279
2014-01-14,46.955002,47.930000,46.849998,47.875000,40.326035,857894
2014-01-15,47.834999,48.070000,47.639999,47.794991,40.258625,686410
2014-01-16,47.849998,48.775002,47.799999,48.400002,40.768242,760814
2014-01-17,48.435001,48.580002,47.950001,48.005001,40.435524,680811
2014-01-20,48.150002,48.259998,48.005001,48.084999,40.502907,491720
2014-01-21,47.980000,48.459999,47.619999,47.945000,40.384987,1172420
2014-01-22,48.110001,48.334999,47.820000,47.965000,40.401833,761043
2014-01-23,47.990002,48.410000,47.900002,48.195000,40.595566,711214
2014-01-24,48.255001,48.294991,47.205002,47.410000,39.934345,1004015
2014-01-27,47.535000,47.639999,46.450001,46.560001,39.218380,839778
2014-01-28,46.685001,46.685001,46.095001,46.514999,39.180470,969264
2014-01-29,46.875000,47.299999,46.000000,46.270000,38.974106,1352822
2014-01-30,45.965000,46.000000,44.134991,44.955002,37.866455,2516476
2014-01-31,44.945000,45.455002,44.790001,45.259998,38.123360,1441909
2014-02-03,45.240002,45.849998,45.189999,45.334999,38.186535,932093
2014-02-04,45.244999,45.310001,44.654999,45.185001,38.060184,889829
2014-02-05,45.195000,45.299999,44.955002,45.205002,38.077038,662527
2014-02-06,45.470001,45.904999,45.115002,45.770000,38.552940,1550299
2014-02-07,45.935001,46.349998,45.680000,46.075001,38.809856,1174959
2014-02-10,46.244999,46.689999,46.200001,46.674999,39.315239,534826
