Date,AD.AS,AGN.AS,AKZA.AS,ASML.AS,HEIA.AS,INGA.AS,MT.AS,PHIA.AS,RAND.AS,WKL.AS
2014-01-02,15.03261,6.871,63.247494,67.760002,48.130001,10.08,26.091482,25.125425,47.110001,20.73
2014-01-03,15.072896,6.923,63.573742,67.75,48.150002,10.085,26.274866,25.242702,47.764999,20.665001
2014-01-06,15.124693,6.92,63.371243,66.050003,47.634991,9.981,25.836782,25.439728,47.650002,20.57
2014-01-07,15.17649,6.848,62.898743,65.519997,47.544991,10.335,25.959038,25.641445,48.68,20.735001
2014-01-08,15.130449,6.956,61.188744,65.699997,47.305,10.555,26.050732,25.688356,49.544998,20.690001
2014-01-09,14.975058,6.913,60.693741,66.379997,47.205002,10.515,25.317194,25.557005,49.5,20.985001
2014-01-10,15.055631,6.769,62.201241,66.260002,47.134991,10.52,25.042118,26.044878,49.189999,21.145
2014-01-13,15.101672,6.807,63.033741,66.440002,47.119999,10.595,25.877535,25.960438,48.549999,21.26
2014-01-14,15.239798,6.795,62.639992,66.559998,47.875,10.745,25.571894,25.96982,48.814999,21.695
2014-01-15,15.147714,6.81,63.438744,65.760002,47.794991,10.93,26.009979,26.35918,48.764999,21.985001
2014-01-16,14.76787,6.811,63.911243,62.779999,48.400002,10.805,26.468439,26.331034,49.0,21.98
2014-01-17,14.641256,6.82,65.193741,62.049999,48.005001,10.85,26.529568,26.326342,48.299999,22.014999
2014-01-20,14.819667,6.768,64.777489,64.25,48.084999,10.74,26.183174,26.335726,48.139999,21.889999
2014-01-21,14.750605,6.659,63.956242,63.099998,47.945,10.59,25.785843,26.251286,48.044998,21.834999
2014-01-22,14.61248,6.73,64.102493,67.510002,47.965,10.425,25.887722,25.993277,48.205002,21.68
2014-01-23,14.790891,6.759,62.966244,64.489998,48.195,10.315,25.602457,25.674282,47.959999,21.375
2014-01-24,14.537662,6.534,60.839993,64.389999,47.41,9.933,24.563282,24.858034,46.279999,21.025
2014-01-27,14.376516,6.462,60.457493,64.519997,46.560001,9.86,24.206701,24.83927,45.959999,20.865
2014-01-28,14.290188,6.575,60.637493,63.610001,46.514999,10.17,25.052305,24.782976,47.125,20.805
2014-01-29,14.284433,6.5,60.794991,63.290001,46.27,10.02,25.205126,23.938583,47.334999,20.620001
2014-01-30,14.261412,6.513,60.89624,63.400002,44.955002,10.01,24.980989,24.140299,47.34,20.495001
2014-01-31,14.232636,6.487,60.086243,62.98,45.259998,9.84,25.103247,24.243504,47.125,20.48
2014-02-03,14.457089,6.3,60.581242,62.860001,45.334999,9.633,24.634598,23.929199,46.07,20.540001
2014-02-04,14.365005,6.358,59.827492,62.529999,45.185001,9.726,24.553095,24.084005,45.695,20.465
2014-02-05,14.457089,6.331,59.523743,62.470001,45.205002,9.952,24.950426,23.535151,45.855,20.645
2014-02-06,14.687297,6.483,63.393742,63.740002,45.77,10.06,25.256065,24.215357,47.130001,20.91
2014-02-07,14.687297,6.502,64.124992,63.860001,46.075001,10.115,25.459826,24.285723,46.974998,20.955
2014-02-10,14.698808,6.51,64.709991,64.010002,46.674999,10.055,24.644787,24.238811,46.605,21.059999
2014-02-11,14.940527,6.598,65.95874,65.290001,47.105,10.165,24.746666,24.487438,47.334999,21.280001
2014-02-12,15.03261,6.665,66.588737,64.940002,47.305,10.535,24.960613,24.661009,47.209999,21.459999
2014-02-13,14.975058,6.647,66.678741,64.440002,46.84,10.5,24.828171,24.534349,47.485001,21.514999
2014-02-14,15.078652,6.748,67.949989,64.849998,46.610001,10.6,24.950426,24.515585,48.59,21.605
2014-02-17,15.262818,6.768,67.499992,65.739998,47.935001,10.61,24.980989,24.834579,49.105,21.76
2014-02-18,15.285839,6.819,67.353745,65.089996,48.200001,10.605,24.583658,24.759521,48.900002,21.645
2014-02-19,15.331881,6.764,68.366241,64.870003,48.654999,10.475,24.756853,24.693846,49.169998,20.655001
2014-02-20,15.354902,6.358,66.926239,64.660004,48.93,10.525,24.481777,24.027714,43.994999,20.049999
2014-02-21,15.32037,6.585,66.611244,64.93,49.07,10.545,24.491966,23.783777,45.395,20.235001
2014-02-24,15.446985,6.568,66.453743,65.519997,49.080002,10.615,24.247454,23.97142,45.505001,20.57
2014-02-25,15.470006,6.571,67.421242,63.279999,48.865002,10.665,23.727865,23.947966,45.264999,20.67
2014-02-26,15.29735,6.549,67.094994,63.310001,48.669998,10.525,23.330532,23.854143,44.91,20.635
2014-02-27,15.907402,6.501,67.106239,62.810001,48.599998,10.505,23.503729,23.741556,45.32,20.825001
2014-02-28,15.562089,6.529,67.511238,63.049999,48.990002,10.57,23.361097,23.793159,45.645,20.93
2014-03-03,15.470006,6.228,65.306244,62.299999,47.810001,9.977,22.403423,23.122335,44.494999,20.365
2014-03-04,15.918912,6.43,66.926239,64.779999,48.805,10.37,22.892448,23.821306,45.57,20.674999
2014-03-05,15.999485,6.549,67.781242,65.239998,48.424999,10.36,22.953577,23.567987,45.330002,20.58
2014-03-06,16.154877,6.528,68.107491,65.970001,48.830002,10.41,23.065645,23.962038,45.325001,20.645
2014-03-07,15.953444,6.357,67.724991,65.610001,48.580002,10.205,22.627562,23.619589,44.630001,20.700001
2014-03-10,15.815319,6.333,66.431244,65.419998,48.389999,10.13,22.209852,23.460093,45.299999,20.459999
2014-03-11,15.5736,6.371,65.531242,65.07,48.360001,10.355,22.525681,23.610207,45.869999,20.325001
2014-03-12,15.631152,6.391,64.721245,65.330002,47.540001,10.275,22.474739,23.474167,44.889999,20.200001
